% 1. Título: Campeonato Brasileiro de Pontos Corridos
% 
% 2. Sources:
%      (a) Criador: João Leal Neves
%      (b) Data: 12 de Abril de 2015
% 
% 3. Usabilidade:
%	
%	Sabendo que o Campeonato Brasileiro passou a ser de pontos ocorridos à partir de 2003, podemos saber quem será o campeão
%	baseado nos pontos ganhos no decorrer das 38 rodadas. Porém, desta forma, podemos apenas analisar o desempenho literal
%	não analisando o desempenho de vitórias, derrotas, empates, gols contra, gols a favor, saldo de gols. Esse arquivo
%	proverá uma base sólida para a comparação de dados e análise de todos os times que participaram desde 2003 até 2014.
%

@RELATION CampeonatoBrasileiroPontosCorridos

@ATTRIBUTE colocacao INTEGER
@ATTRIBUTE pontosganhos INTEGER
@ATTRIBUTE jogos INTEGER
@ATTRIBUTE vitorias INTEGER
@ATTRIBUTE empates INTEGER
@ATTRIBUTE derrotas INTEGER
@ATTRIBUTE golpro INTEGER
@ATTRIBUTE golcontra INTEGER
@ATTRIBUTE saldogol INTEGER
@ATTRIBUTE aproveitamento REAL
@ATTRIBUTE ano INTEGER	 
@ATTRIBUTE class {saopaulo,cruzeiro,internacional,santos,fluminense,corinthians,flamengo,gremio,atletico-paranaense,atletico-mineiro,botafogo,goias,palmeiras,vasco-da-gama,coritiba,figueirense,vitoria,ponte-preta,parana,juventude,sport,bahia,sao-caetano,nautico,criciuma,guarani,paysandu,fortaleza,avai,portuguesa,atletico-goianiense,ceara,gremio-barueri,gremio-prudente,chapecoense,santo-andre,brasiliense,america-mineiro,betim,santa-cruz,america-de-natal,joinville,ipatinga}

@DATA
1,100,46,31,7,8,102,47,55,72.5,2003,cruzeiro
2,87,46,25,12,9,93,60,33,63.0,2003,santos
3,78,46,22,12,12,81,67,14,56.5,2003,saopaulo
4,74,46,19,14,13,53,37,16,53.6,2003,sao-caetano
5,73,46,21,10,15,67,58,9,52.8,2003,coritiba
6,72,46,20,10,16,59,57,2,52.1,2003,internacional
7,72,46,19,15,12,76,62,14,52.1,2003,atletico-mineiro
8,66,46,18,12,16,66,73,-7,47.8,2003,flamengo
9,65,46,18,11,17,78,63,15,47.1,2003,goias
10,65,46,18,11,17,85,75,10,47.1,2003,parana
11,65,46,17,14,15,62,54,8,47.1,2003,figueirense
12,61,46,17,10,19,67,72,-5,44.2,2003,atletico-paranaense
13,61,46,17,10,19,64,72,-8,44.2,2003,guarani
14,60,46,17,9,20,57,69,-12,43.4,2003,criciuma
15,59,46,15,12,19,61,63,-2,42.7,2003,corinthians
16,56,46,15,11,20,50,64,-14,40.5,2003,vitoria
17,54,46,13,15,18,57,69,-12,39.1,2003,vasco-da-gama
18,53,46,12,14,20,55,70,-15,38.4,2003,juventude
19,52,46,13,11,22,52,77,-25,37.6,2003,fluminense
20,50,46,13,11,22,54,68,-14,36.2,2003,gremio
21,50,46,11,18,17,63,73,-10,36.2,2003,ponte-preta
22,49,46,15,12,19,74,77,-3,35.5,2003,paysandu
23,49,46,12,13,21,58,74,-16,35.5,2003,fortaleza
24,46,46,12,10,24,59,92,-33,33.3,2003,bahia
1,89,46,27,8,11,103,58,45,64.0,2004,santos
